Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	tree_length
0	-174.4741	-238.7367	64.26264	0.0184187	0.00174817	0.0202545	0.0207165	0.0842104	0.00934906	0.00693086	0.00927409	0.0274023	0.0234104	0.00583966	0.0122954	0.0657976	0.00153381	0.000204077	0.0315301	0.000542125	0.019041	0.00665731	0.0110867	0.00560983	0.00268019	0.00292471	0.0186676	0.038636	0.154853	0.00390966	0.00865519	0.00680131	0.0102811	0.0115605	0.0374355	0.0211372	0.0110671	0.00690884	0.00426764	0.0146477	0.00454119	0.0289406	0.00152798	0.00950472	0.00492206	0.00466679	0.00867762	0.0161857	0.0241923	0.000279075	0.0202807	0.149403	0.552606	1.80961	6.6933	49.308	2.818584	0.0219342	0.00208184	0.0241204	0.0246706	0.100283	0.0111335	0.00825374	0.0110442	0.0326324	0.0278787	0.00695426	0.0146422	0.0783562	0.00182656	0.000243028	0.0375482	0.000645598	0.0226753	0.00792797	0.0132028	0.00668056	0.00319175	0.00348294	0.0222306	0.0460103	0.18441	0.00465588	0.0103072	0.00809946	0.0122434	0.0137671	0.0445807	0.0251716	0.0131795	0.00822751	0.00508219	0.0174435	0.00540796	0.0344644	0.00181962	0.0113189	0.00586151	0.00555752	0.0103339	0.019275	0.0288098	0.000332341	0.8397245
36	-173.8955	-238.3848	64.48932	0.00917359	0.00150513	0.0105194	0.0214234	0.0422683	0.0137441	0.00107791	0.028398	0.00939583	0.0376569	0.0175492	0.0096215	0.0261338	0.00181699	0.0025579	0.032609	0.0062124	0.0642574	0.00212608	0.0131923	0.0165978	0.00493346	0.0223077	0.0144659	0.0376176	0.0628971	0.0155491	0.0156038	0.0953143	0.0246436	0.0182792	0.0161171	0.00889899	0.0256793	0.00944773	0.000169832	0.0196931	0.0168468	0.00147148	0.00770669	0.00284667	0.0238253	0.0183728	0.00561062	0.0184379	0.00988975	0.00226894	0.0286195	0.17673	0.582337	1.71722	5.65835	34.9412	2.569545	0.0105841	0.00173656	0.0121369	0.0247174	0.0487675	0.0158574	0.00124365	0.0327645	0.0108405	0.0434469	0.0202476	0.0111009	0.0301521	0.00209637	0.0029512	0.037623	0.00716762	0.0741376	0.00245299	0.0152207	0.0191499	0.00569203	0.0257377	0.0166902	0.0434017	0.0725682	0.0179399	0.018003	0.10997	0.0284328	0.0210898	0.0185952	0.0102673	0.0296277	0.0109004	0.000195946	0.0227211	0.0194372	0.00169773	0.00889167	0.00328438	0.0274887	0.0211977	0.00647331	0.0212729	0.0114104	0.00261781	0.8667318
72	-172.5809	-236.0296	63.4487	0.0480088	0.0166166	0.0155427	0.0133193	0.0743757	0.138219	0.0544822	0.0706554	0.0846239	0.0631034	0.0430125	0.0188004	0.135392	0.000777015	0.00668489	0.0782713	0.0493613	0.0918852	0.124032	0.0486683	0.0170368	0.0430605	0.00843635	0.014672	0.0415009	0.00588602	0.0144441	0.0714717	0.0753209	0.015183	0.0365073	0.0284657	0.00965667	0.0133966	0.0152579	0.000917894	0.0222446	0.00853167	0.0137657	0.0488562	0.0147811	0.00346743	0.0542058	0.0706284	0.0935157	0.0328283	0.0674009	0.0508555	0.233926	0.635571	1.57339	4.27487	19.6636	2.153854	0.0237989	0.00823716	0.00770481	0.00660264	0.0368694	0.0685178	0.0270078	0.0350252	0.0419497	0.0312816	0.0213221	0.00931971	0.0671166	0.000385181	0.00331383	0.0388006	0.0244693	0.0455492	0.0614849	0.0241258	0.00844547	0.0213459	0.00418206	0.00727317	0.0205728	0.00291781	0.00716022	0.0354299	0.037338	0.00752649	0.0180974	0.014111	0.00478699	0.00664095	0.00756363	0.000455018	0.0110271	0.00422931	0.00682392	0.0242189	0.00732726	0.00171887	0.0268708	0.0350118	0.0463575	0.0162736	0.0334119	2.017272
108	-179.8444	-240.5798	60.73541	0.0237115	0.0114343	0.0715362	0.0654498	0.00387075	0.0175768	0.00214408	0.0465335	0.0365655	0.0136243	0.0485764	0.0170221	0.0421816	0.00411893	0.00380376	0.0139163	0.00750689	0.109483	0.00753799	0.0912286	0.016891	0.0932535	0.170675	0.00968308	0.057427	0.0879876	0.0115276	0.074298	0.118155	0.0478172	0.00407198	0.0281329	0.0355171	0.0585059	0.054096	0.0225087	0.069831	0.0869025	0.0199204	0.0103751	0.00387302	0.0202128	0.0367347	0.12612	0.0861985	0.0790658	0.0424741	0.0014492	0.0412548	0.369874	2.70362	24.2396	690.037	4.726517	0.0112373	0.0054189	0.0339022	0.0310177	0.00183441	0.00832993	0.00101612	0.022053	0.017329	0.00645677	0.0230211	0.00806705	0.0199906	0.00195203	0.00180266	0.00659515	0.00355764	0.0518856	0.00357238	0.0432347	0.0080049	0.0441943	0.0808857	0.00458897	0.0272156	0.0416988	0.00546313	0.035211	0.0559957	0.0226614	0.00192978	0.0133326	0.0168321	0.0277269	0.025637	0.0106673	0.0330941	0.0411845	0.00944061	0.00491695	0.00183549	0.00957918	0.0174092	0.0597701	0.0408509	0.0374706	0.0201292	2.110077
144	-175.5885	-240.4641	64.87559	0.00800276	0.0125178	0.00775417	0.0158432	0.00117538	0.0367496	0.0320503	0.0144494	0.0431389	0.00519528	0.0147889	0.0343311	0.0566832	0.00455196	0.0135419	0.0301139	0.00291537	0.0300887	0.000105412	0.0477324	0.0257553	0.0230527	0.065013	0.0206886	0.0379087	0.0436123	0.0203225	0.0218208	0.0204508	0.0127062	0.0288614	0.0138084	0.0264454	0.0177363	0.0134893	0.0152051	0.00588702	0.00523056	0.0059501	0.0135906	0.00721648	0.0030236	0.0176352	0.04478	0.0273593	0.0220263	0.040857	0.0589118	0.251318	0.649952	1.53858	3.97901	16.9745	2.047524	0.00790659	0.0123674	0.007661	0.0156528	0.00116126	0.036308	0.0316651	0.0142758	0.0426205	0.00513285	0.0146112	0.0339186	0.056002	0.00449726	0.0133792	0.029752	0.00288034	0.0297271	0.000104145	0.0471588	0.0254458	0.0227757	0.0642317	0.02044	0.0374532	0.0430882	0.0200783	0.0215586	0.020205	0.0125535	0.0285146	0.0136425	0.0261276	0.0175232	0.0133272	0.0150224	0.00581628	0.0051677	0.0058786	0.0134273	0.00712976	0.00298727	0.0174233	0.0442419	0.0270305	0.0217616	0.0403661	1.012163
180	-173.2711	-237.8941	64.62305	0.00423584	0.0218116	0.0485008	0.0232557	0.00626001	0.0299962	0.0159881	0.0205206	0.0328069	0.0174086	0.00963611	0.0672925	0.0718374	0.0109879	0.00246337	0.0188153	0.0021551	0.0117749	0.00532753	0.0285108	0.0187412	0.0103024	0.0138934	0.0437523	0.0623573	0.133771	0.0338519	0.00444637	0.0154305	0.0446707	0.0156361	0.00052571	0.0045653	0.00490218	0.00891549	0.075195	0.00428046	0.0708094	0.0303457	0.0196647	0.00281471	0.00835939	0.0531347	0.0403908	0.0271327	0.0157063	0.0262634	0.0588664	0.251224	0.649876	1.53876	3.98051	16.9876	2.048081	0.00341753	0.0175979	0.039131	0.018763	0.00505066	0.0242013	0.0128994	0.0165563	0.0264691	0.0140455	0.00777454	0.0542924	0.0579594	0.00886521	0.00198748	0.0151804	0.00173876	0.00950018	0.00429832	0.0230029	0.0151207	0.00831208	0.0112094	0.0352999	0.0503107	0.107928	0.0273122	0.00358739	0.0124495	0.0360409	0.0126154	0.00042415	0.00368335	0.00395514	0.00719314	0.0606683	0.00345353	0.0571299	0.0244833	0.0158657	0.00227094	0.00674446	0.0428698	0.0325878	0.021891	0.0126721	0.0211896	1.239445
216	-177.9642	-241.304	63.33987	0.0287761	0.044377	0.00237089	0.0251539	0.00224189	0.131356	0.00603166	0.0763273	0.0847641	0.0203283	0.0106763	0.0465857	0.073869	0.00952711	0.00507928	0.0117279	0.000361551	0.021361	0.0790906	0.0149771	0.00304547	0.0495649	0.0140161	0.0324646	0.0397807	0.124539	0.0372046	0.0127166	0.00857779	0.059587	0.0898161	0.003901	0.00255625	0.021963	0.0329674	0.0292563	0.0235461	0.00392213	0.0613572	0.0195699	0.0675246	0.00802834	0.0666308	0.011469	0.00698559	0.00837985	0.0202724	0.0174455	0.138824	0.540088	1.85155	7.20338	57.3215	2.927472	0.01851	0.0285451	0.00152506	0.0161801	0.00144207	0.0844938	0.00387982	0.0490969	0.0545238	0.013076	0.00686747	0.0299658	0.0475156	0.00612823	0.0032672	0.00754389	0.000232565	0.0137403	0.0508743	0.00963392	0.00195897	0.0318822	0.00901571	0.0208826	0.0255886	0.0801087	0.0239315	0.00817988	0.00551759	0.0383288	0.0577735	0.00250928	0.00164428	0.0141275	0.021206	0.0188189	0.0151459	0.00252288	0.0394675	0.0125882	0.0434346	0.00516416	0.0428597	0.00737733	0.00449342	0.00539027	0.0130401	1.554626
252	-184.5078	-249	64.49221	0.00145042	0.0132971	0.00752565	0.0105854	0.0374369	0.0337813	0.00779878	0.00597621	0.0113367	0.00801687	0.00278318	0.0322067	0.0151537	0.0078938	0.00202039	0.000848494	0.00786159	0.0402219	0.0187282	0.0144822	0.0190063	0.0139326	0.0139293	0.00446506	0.00762716	0.046163	0.0140206	0.00635409	0.00269786	0.00660409	0.0211627	0.0060445	0.00379949	0.0139599	0.00736389	0.00765886	0.0274667	0.000672998	0.0406102	0.0216572	9.61524e-05	0.000290969	0.0246218	0.00493447	0.0268988	0.0308004	0.00375304	0.0235814	0.160804	0.565431	1.76856	6.21874	42.4063	2.709554	0.00221101	0.02027	0.0114721	0.0161363	0.0570687	0.0514961	0.0118884	0.0091101	0.0172816	0.0122209	0.00424267	0.0490958	0.0231002	0.0120333	0.00307987	0.00129344	0.0119842	0.061314	0.0285491	0.0220766	0.0289732	0.0212389	0.0212338	0.00680652	0.0116268	0.0703707	0.0213729	0.00968615	0.0041126	0.0100672	0.0322603	0.00921422	0.00579193	0.0212805	0.0112255	0.0116751	0.0418701	0.00102591	0.061906	0.0330142	0.000146574	0.000443551	0.0375333	0.00752209	0.0410044	0.046952	0.00572112	0.6559977
288	-175.0547	-237.4533	62.39867	0.0154801	0.0225615	0.0407968	0.0502813	0.0533244	0.48244	0.0677514	0.101895	0.011881	0.0534129	0.0320507	0.0126557	0.0291748	0.000608681	0.00322951	0.000686906	0.002073	0.0110921	0.0253581	0.214997	0.0869772	0.0833096	0.104092	0.0534536	0.0343932	0.094618	0.00655332	0.0248055	0.016472	0.0539296	0.136417	0.039644	0.0135304	0.0258239	0.0525379	0.136423	0.0367412	0.0988637	0.0802338	0.00803014	0.0408173	0.0281833	0.0330978	0.0530294	0.0325961	0.0647362	0.179059	0.0738817	0.280661	0.672734	1.48647	3.56301	13.5352	1.883804	0.00543139	0.007916	0.0143141	0.0176418	0.0187095	0.16927	0.0237714	0.035751	0.00416859	0.0187406	0.0112454	0.00444043	0.0102364	0.000213564	0.00113312	0.00024101	0.00072734	0.0038918	0.0088972	0.0754345	0.0305171	0.0292302	0.036522	0.0187549	0.0120673	0.0331979	0.00229932	0.00870334	0.00577941	0.0189219	0.0478636	0.0139096	0.0047473	0.00906065	0.0184336	0.0478656	0.0128911	0.0346876	0.028151	0.00281748	0.0143213	0.00988846	0.0116128	0.018606	0.0114368	0.0227135	0.0628251	2.850119
324	-182.3595	-245.4324	63.07286	0.0221852	0.0232243	0.0408933	0.108798	0.0598213	0.0584925	0.0127483	0.0574373	0.0165092	0.0192201	0.033288	0.00203071	0.160428	0.000360128	0.00372973	0.00184512	0.0636568	0.00880572	0.0381632	0.0998688	0.0392598	0.109841	0.104572	0.0169427	0.0402287	0.0498864	0.0145007	0.0413821	0.000770442	0.0531565	0.000726581	0.0469818	0.0229251	0.00237698	0.0564302	0.0369957	0.0160886	0.0135616	0.0798914	0.0061954	0.0718911	0.0535985	0.00437128	0.0391137	0.0374899	0.00239092	0.0600516	0.021597	0.154056	0.557919	1.79238	6.49113	46.3027	2.773114	0.0119718	0.0125325	0.0220672	0.0587104	0.0322813	0.0315642	0.00687934	0.0309948	0.00890885	0.0103717	0.0179632	0.00109583	0.0865714	0.000194335	0.00201267	0.000995678	0.034351	0.00475182	0.0205939	0.053892	0.0211857	0.0592736	0.0564302	0.00914278	0.0217086	0.0269201	0.00782497	0.022331	0.000415752	0.0286847	0.000392084	0.0253527	0.012371	0.00128269	0.0304514	0.019964	0.00868188	0.00731821	0.0431117	0.00334322	0.0387945	0.0289233	0.00235887	0.0211069	0.0202306	0.00129021	0.0324055	1.853127
